#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
kong2600;Donkey Kong (2600 graphics, hack);Arcade;dkong;1999;Vic Twenty George;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkonghrd;Donkey Kong (hard kit);Arcade;dkong;1981;Nintendo of America;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongj;Donkey Kong (Japan set 1);Arcade;dkong;1981;Nintendo;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongjo;Donkey Kong (Japan set 2);Arcade;dkong;1981;Nintendo;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongjo1;Donkey Kong (Japan set 3);Arcade;dkong;1981;Nintendo;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongpac;Donkey Kong (Pacman Graphics);Arcade;dkong;2001;Hack (Tim Appleton);Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongp;Donkey Kong (Patched);Arcade;dkong;2007;Hack (Don Hodges);Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkong;Donkey Kong (US set 1);Arcade;;1981;Nintendo of America;Platform / Run Jump;2;;;good;0;;;;;;;;;
dkongo;Donkey Kong (US set 2);Arcade;dkong;1981;Nintendo;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkrainbow;Donkey Kong - Arcade Rainbow (hack);Arcade;dkong;2015;hack (john Kowalski);Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkong3abl;Donkey Kong 3 (bootleg on Ambush hardware);Arcade;dkong3;1983;bootleg;Platform / Run Jump;2;;;good;0;;dkong3;;;;;;;
dkong3b;Donkey Kong 3 (bootleg on Donkey Kong Jr. hardware);Arcade;dkong3;1984;bootleg;Platform / Run Jump;2;;;good;0;;dkong3;;;;;;;
dkong3j;Donkey Kong 3 (Japan);Arcade;dkong3;1983;Nintendo;Platform / Run Jump;2;;;good;0;;dkong3;;;;;;;
dkong3;Donkey Kong 3 (US);Arcade;;1983;Nintendo of America;Platform / Run Jump;2;;;good;0;;;;;;;;;
dkaccel;Donkey Kong Accelerate;Arcade;dkong;2023;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkong40y;Donkey Kong Anniversary Edition;Arcade;dkong;2021;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongbp;Donkey Kong Barrelpalooza v1.06;Arcade;dkong;2021;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongbp1;Donkey Kong Barrelpalooza v1.07;Arcade;dkong;2021;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongchm1;Donkey Kong Championship Edition v1.01;Arcade;dkong;2020;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkchrmx;Donkey Kong Christmas Remix (Hack);Arcade;dkong;2017;Sock Master;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkcbarrel;Donkey Kong Crazy Barrels Edition;Arcade;dkong;2019;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkduel;Donkey Kong Duel;Arcade;dkong;2021;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongf;Donkey Kong Foundry (hack);Arcade;dkong;2004;hack (Jeff Kulczycki);Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkfreerun;Donkey Kong Freerun Edition;Arcade;dkong;2019;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkhrthnt;Donkey Kong Hearthunt;Arcade;dkong;2022;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongx11;Donkey Kong II: Jumpman Returns (hack, V1.1);Arcade;dkong;2006;hack (Braze Technologies);Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongx;Donkey Kong II: Jumpman Returns (hack, V1.2);Arcade;dkong;2006;hack (Braze Technologies);Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
dkongitd;Donkey Kong In the Dark v1.02;Arcade;dkong;2020;Paul Goes;Platform / Run Jump;2;;;good;0;;dkong;;;;;;;
