#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Olympic Gold (Japan, USA, Korea) (En,Fr,De,Es,It,Nl,Pt,Sv) (Rev A);Olympic Gold (Japan, USA, Korea) (En,Fr,De,Es,It,Nl,Pt,Sv) (Rev A);Mega Drive;Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);1992;U.S. Gold;Sports;1-4;0;;;;;;;;;;en,fr,de,es,it,nl,pt,sv;eu;TI
Olympic Gold (Japan, USA) (En,Fr,De,Es,It,Nl,Pt,Sv);Olympic Gold (Japan, USA) (En,Fr,De,Es,It,Nl,Pt,Sv);Mega Drive;Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv);1992;U.S. Gold;Sports;1-4;0;;;;;;;;;;en,fr,de,es,it,nl,pt,sv;eu;TI
Olympic Summer Games (USA);Olympic Summer Games (USA);Mega Drive;Olympic Summer Games (Europe);1996;U.S. Gold;Sports;1-8;0;;;;;;;;;;;eu,us;6
Olympic Summer Games (Europe);Olympic Summer Games (Europe);Mega Drive;;1996;U.S. Gold;Sports;1-8;0;;;;;;;;;;;eu,us;6
On Dal Jang Goon (Korea);On Dal Jang Goon (Korea);Mega Drive;Mystic Defender (USA, Europe) (Rev A);1990;SEGA;Platform;1;0;;;;;;;;;;;kr;pro_UK_04
Onslaught (USA, Europe) (Unl);Onslaught (USA, Europe) (Unl);Mega Drive;;1991;Ballistic;Platform;1;0;;;;;;;;;;;eu,us;
Ooze, The (Europe);Ooze, The (Europe);Mega Drive;;1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (Japan, USA) (En);Ooze, The (Japan, USA) (En);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (Europe) (Beta) (1995-07-28);Ooze, The (Europe) (Beta) (1995-07-28);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (USA) (Beta) (1995-06-15);Ooze, The (USA) (Beta) (1995-06-15);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (USA) (Beta) (1995-06-19);Ooze, The (USA) (Beta) (1995-06-19);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (USA) (Beta) (1995-06-22);Ooze, The (USA) (Beta) (1995-06-22);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (USA) (Beta) (1995-06-26);Ooze, The (USA) (Beta) (1995-06-26);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (USA) (Beta) (1995-06-29);Ooze, The (USA) (Beta) (1995-06-29);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Ooze, The (USA) (Beta) (1995-06-29) (Alt);Ooze, The (USA) (Beta) (1995-06-29) (Alt);Mega Drive;Ooze, The (Europe);1995;SEGA;Action;1;0;;;;;;;;;;;eu;6
Operation Europe - Path to Victory 1939-45 (USA);Operation Europe - Path to Victory 1939-45 (USA);Mega Drive;;1994;Koei;Strategy;1-2;0;;;;;;;;;;;us;
Osomatsu-kun Hachamecha Gekijou (Japan);Osomatsu-kun Hachamecha Gekijou (Japan);Mega Drive;;1988;SEGA;Platform;1;0;;;;;;;;;;;jp;
Ottifants, The (Europe) (En,Fr,De,Es,It);Ottifants, The (Europe) (En,Fr,De,Es,It);Mega Drive;;1993;Graftgold Creative Software;Platform;1;0;;;;;;;;;;;eu;
Ottifants, The (Europe) (De) (Beta);Ottifants, The (Europe) (De) (Beta);Mega Drive;Ottifants, The (Europe) (En,Fr,De,Es,It);1993;Graftgold Creative Software;Platform;1;0;;;;;;;;;;;eu;
Out of the Vortex (USA) (Proto);Out of the Vortex (USA) (Proto);Mega Drive;;;;;;0;;;;;;;;;;;us;
Out of This World (USA) (Beta);Out of This World (USA) (Beta);Mega Drive;Another World (Europe);1992;Delphine Software International;Adventure;1;0;;;;;;;;;;;us;15
Out of This World (USA);Out of This World (USA);Mega Drive;Another World (Europe);1992;Delphine Software International;Adventure;1;0;;;;;;;;;;;us;15
Outback Joey (USA);Outback Joey (USA);Mega Drive;;1993;Western Technologies;Action;;0;;;;;;;;;;;us;
Outlander (USA);Outlander (USA);Mega Drive;;1992;Mindscape;Action;1;0;;;;;;;;;;;eu;17
Outlander (USA) (Beta);Outlander (USA) (Beta);Mega Drive;Outlander (USA);1992;Mindscape;Action;1;0;;;;;;;;;;;eu;17
OutRun (Japan);OutRun (Japan);Mega Drive;OutRun (USA, Europe);1991;SEGA;Racing, Driving;1;0;;;;;;;;;;;eu,us;3
OutRun (USA, Europe);OutRun (USA, Europe);Mega Drive;;1991;SEGA;Racing, Driving;1;0;;;;;;;;;;;eu,us;3
OutRun (Japan) (En) (Pirate);OutRun (Japan) (En) (Pirate);Mega Drive;OutRun (USA, Europe);1991;SEGA;Racing, Driving;1;0;;;;;;;;;;;eu,us;3
OutRun (USA, Europe) (Sega Smash Pack);OutRun (USA, Europe) (Sega Smash Pack);Mega Drive;OutRun (USA, Europe);1991;SEGA;Racing, Driving;1;0;;;;;;;;;;;eu,us;3
OutRun 2019 (Europe);OutRun 2019 (Europe);Mega Drive;;1993;Sims;Racing, Driving;1;0;;;;;;;;;;;eu,us;16
OutRun 2019 (Japan);OutRun 2019 (Japan);Mega Drive;OutRun 2019 (Europe);1993;Sims;Racing, Driving;1;0;;;;;;;;;;;eu,us;16
OutRun 2019 (USA);OutRun 2019 (USA);Mega Drive;OutRun 2019 (Europe);1993;Sims;Racing, Driving;1;0;;;;;;;;;;;eu,us;16
OutRun 2019 (USA) (Beta);OutRun 2019 (USA) (Beta);Mega Drive;OutRun 2019 (Europe);1993;Sims;Racing, Driving;1;0;;;;;;;;;;;eu,us;16
OutRunners (Japan);OutRunners (Japan);Mega Drive;OutRunners (USA);1994;Data East;Racing, Driving;1-2;0;;;;;;;;;;;us;GA
OutRunners (USA);OutRunners (USA);Mega Drive;;1994;Data East;Racing, Driving;1-2;0;;;;;;;;;;;us;GA
Outworld 2375 A.D. (USA) (Proto) (HeartBeat Catalyst);Outworld 2375 A.D. (USA) (Proto) (HeartBeat Catalyst);Mega Drive;;;;;;;;;;;;;;;;;;
Ozaki Naomichi no Super Masters (Japan);Ozaki Naomichi no Super Masters (Japan);Mega Drive;Arnold Palmer Tournament Golf (USA, Europe);1989;SEGA;Sports;1-2;0;;;;;;;;;;;jp;pro_UK_01
P.T.O. - Pacific Theater of Operations (USA);P.T.O. - Pacific Theater of Operations (USA);Mega Drive;;1993;Koei;Puzzle;1-2;0;;;;;;;;;;;us;
Pac-Attack (USA);Pac-Attack (USA);Mega Drive;Pac-Panic (Europe);1993;Namco;Puzzle;1-2;0;;;;;;;;;;;us;6
Pac-Man 2 - The New Adventures (USA);Pac-Man 2 - The New Adventures (USA);Mega Drive;;1994;Namco;Puzzle;1;0;;;;;;;;;;;us;GA
Pac-Mania (USA, Europe);Pac-Mania (USA, Europe);Mega Drive;;1991;Sculptured Software;Action;1-2;0;;;;;;;;;;;eu,us;pro_UK_02
Pac-Panic (Europe);Pac-Panic (Europe);Mega Drive;;1993;Namco;Puzzle;1-2;0;;;;;;;;;;;eu;6
Pachinko Kuunyan (Japan);Pachinko Kuunyan (Japan);Mega Drive;;1992;Soft Vision;Role Playing Game;1;0;;;;;;;;;;;jp;
Paddle Fighter (Japan) (SegaNet);Paddle Fighter (Japan) (SegaNet);Mega Drive;;1991;SEGA;Sports;1-2;0;;;;;;;;;;;jp;
Paddle Fighter (Japan) (Game no Kanzume Otokuyou);Paddle Fighter (Japan) (Game no Kanzume Otokuyou);Mega Drive;Paddle Fighter (Japan) (SegaNet);1991;SEGA;Sports;1-2;0;;;;;;;;;;;jp;
Pagemaster, The (Europe);Pagemaster, The (Europe);Mega Drive;;1994;Probe Software;Platform;1;0;;;;;;;;;;;eu,us;3
Pagemaster, The (USA);Pagemaster, The (USA);Mega Drive;Pagemaster, The (Europe);1994;Probe Software;Platform;1;0;;;;;;;;;;;eu,us;3
Pagemaster, The (USA) (Beta);Pagemaster, The (USA) (Beta);Mega Drive;Pagemaster, The (Europe);1994;Probe Software;Platform;1;0;;;;;;;;;;;eu,us;3
Panorama Cotton (Japan);Panorama Cotton (Japan);Mega Drive;;1994;Success;Shoot'em Up;1;0;;;;;;;;;;;jp;
Panorama Cotton (Japan) (Beta) (1993-11-27);Panorama Cotton (Japan) (Beta) (1993-11-27);Mega Drive;Panorama Cotton (Japan);1994;Success;Shoot'em Up;1;0;;;;;;;;;;;jp;
Paperboy (USA, Europe) (Beta) (1991-10-28);Paperboy (USA, Europe) (Beta) (1991-10-28);Mega Drive;Paperboy (USA, Europe);1992;Motivetime;Sports;1-2;0;;;;;;;;;;;eu,us;3
